200822147 000033B6: 0240  ANDI.W #F, D0                  D=900000F9 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=50F0C000 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
200822148 000033BA: 2078  MOVEA.L (D28), A0              D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=50F0C000 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
200822149 000033BE: 4E90  JSR (A0)                       D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
200822150 0000D100: 6100  BSR D07E                       D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822151 0000D07E: 4880  EXT.W D0                       D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822152 0000D080: 0C40  CMP.W #E, D0                   D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822153 0000D084: 6E08  BGT D08E                       D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822154 0000D086: 2270  MOVEA.L ???, A1                D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822155 0000D08C: 4E75  RTS                            D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822156 0000D104: 52A9  ADDQ.L #1, A(A1)               D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822157 0000D108: B3F8  CMPA (D10), A1                 D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822158 0000D10C: 660E  BNE D11C                       D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822159 0000D10E: 2038  MOVE.L (8EE), D0               D=90000009 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822160 0000D112: 6708  BEQ D11C                       D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822161 0000D114: 2040  MOVEA.L D0, A0                 D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000D100 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822162 0000D116: 2F09  MOVE.L A1, -(A7)               D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00013F82 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822163 0000D118: 4E90  JSR (A0)                       D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00013F82 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
